time,EngineState,MotorSpeed,Bat,Ie,Power,MotorTemp,InvTemp,PCodeActive,EthtDeg,Enc485Pos,Enc6825Pos,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
7-5_15:40:30.1793373,3,1769,135.42,17.9062,2.209,29.79,250,0,47,0,65535,0,0,0,0,0,0,0,0,131.62,31.09,15.8672,18.2266,69,-2,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:30.4307224,3,1849,138.55,17.2656,2.418,29.84,250,0,80,0,65535,0,0,0,0,0,0,0,0,132.41,37.16,15.8672,18.4844,69,-11,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:30.7168777,3,1817,139.52,16.5859,2.3066,29.9,250,0,286,0,65535,0,0,0,0,0,0,0,0,131.36,33.94,13.8828,20.8047,69,-1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:30.9882271,3,1820,139.08,16.5625,2.3066,29.91,250,0,246,0,65535,0,0,0,0,0,0,0,0,132.75,35.64,15.8359,19.0625,69,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:31.2554386,3,1813,138.64,16.9531,2.3467,29.97,250,0,312,0,65535,0,0,0,0,0,0,0,0,133.88,32.45,16.0781,24,69,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:31.5257767,3,1804,137.58,16.7578,2.2705,30.01,250,0,4,0,65535,0,0,0,0,0,0,0,0,134.67,34.23,19.25,18.0312,69,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:31.7950548,3,1705,130.31,18.0078,2.4717,30.05,250,0,168,0,65535,0,0,0,0,0,0,0,0,135.08,31.06,24.8125,23.9141,70,-1,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:32.0652733,3,1495,112.86,17.6953,1.9883,30.06,250,0,17,0,65535,0,0,0,0,0,0,0,0,130.73,26.72,24.6172,22.8438,70,0,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:32.3355846,3,1857,137.2,10.2188,1.4014,30.07,250,0,155,0,65535,0,0,0,0,0,0,0,0,128.19,31.2,0,11.2656,65,0,-155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:32.6048693,3,31027,139.61,3.9531,0.6133,30.02,250,0,278,0,65535,0,0,0,0,0,0,0,0,130.3,500.31,0.0156,1,-48,-1,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:32.8567030,3,1661,139.61,1.7031,0.2637,29.99,250,0,347,0,65535,0,0,0,0,0,0,0,0,132.14,39.17,0,0.5312,45,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
